DataEye 新品日报 (2026-05-19)
本次共发现 102 个新品，按平台整理如下：

抖音小游戏 (新增 65 个)
- 波总向前闯: https://adxray.dataeye.com/index/home#/Product/Detail/1367514
- 不来必后悔: https://adxray.dataeye.com/index/home#/Product/Detail/1367521
- 沉浸清理大师: https://adxray.dataeye.com/index/home#/Product/Detail/1367503
- 闯关就我棒: https://adxray.dataeye.com/index/home#/Product/Detail/1367415
- 闯关难为易: https://adxray.dataeye.com/index/home#/Product/Detail/1367448
- 春节大挑战: https://adxray.dataeye.com/index/home#/Product/Detail/1367421
- 点开别眨眼: https://adxray.dataeye.com/index/home#/Product/Detail/1367643
- 钓魂: https://adxray.dataeye.com/index/home#/Product/Detail/1367462
- 钓鱼佬: https://adxray.dataeye.com/index/home#/Product/Detail/1367457
- 反向操作指南: https://adxray.dataeye.com/index/home#/Product/Detail/1367548
- 焚尽敌寇游戏软件: https://adxray.dataeye.com/index/home#/Product/Detail/1367508
- 糕手云集: https://adxray.dataeye.com/index/home#/Product/Detail/1367455
- 梗茬侦察社: https://adxray.dataeye.com/index/home#/Product/Detail/1367443
- 海豚爱冒险: https://adxray.dataeye.com/index/home#/Product/Detail/1367581
- 欢乐竞技场: https://adxray.dataeye.com/index/home#/Product/Detail/1367436
- 江湖闯关挑战: https://adxray.dataeye.com/index/home#/Product/Detail/1367465
- 僵尸世界求生: https://adxray.dataeye.com/index/home#/Product/Detail/1367458
- 解环高手: https://adxray.dataeye.com/index/home#/Product/Detail/1367420
- 解压泡泡屋: https://adxray.dataeye.com/index/home#/Product/Detail/1367523
- 解压消文字: https://adxray.dataeye.com/index/home#/Product/Detail/1367509
- 静享闲庭趣游戏软件: https://adxray.dataeye.com/index/home#/Product/Detail/1367442
- 救助女孩小游戏: https://adxray.dataeye.com/index/home#/Product/Detail/1367597
- 快乐关卡行动软件: https://adxray.dataeye.com/index/home#/Product/Detail/1367659
- 老司机汽车驾驶模拟: https://adxray.dataeye.com/index/home#/Product/Detail/1367412
- 林泉觅趣游戏软件: https://adxray.dataeye.com/index/home#/Product/Detail/1367441
- 猫猫厨房: https://adxray.dataeye.com/index/home#/Product/Detail/1367602
- 猛鬼列车: https://adxray.dataeye.com/index/home#/Product/Detail/1367689
- 梦园趣乐挑战会: https://adxray.dataeye.com/index/home#/Product/Detail/1367494
- 魔法阵闯关记: https://adxray.dataeye.com/index/home#/Product/Detail/1367463
- 某某冒险记: https://adxray.dataeye.com/index/home#/Product/Detail/1367438
- 脑洞解压营: https://adxray.dataeye.com/index/home#/Product/Detail/1367506
- 农民的崛起: https://adxray.dataeye.com/index/home#/Product/Detail/1367515
- 挪挪真好玩: https://adxray.dataeye.com/index/home#/Product/Detail/1367452
- 奇妙解压屋: https://adxray.dataeye.com/index/home#/Product/Detail/1367649
- 趣味脑力大挑战: https://adxray.dataeye.com/index/home#/Product/Detail/1367459
- 软萌勇闯关卡: https://adxray.dataeye.com/index/home#/Product/Detail/1367468
- 赛道征服王者: https://adxray.dataeye.com/index/home#/Product/Detail/1367660
- 三角行动单机版: https://adxray.dataeye.com/index/home#/Product/Detail/1367405
- 烧烤达人: https://adxray.dataeye.com/index/home#/Product/Detail/1367510
- 深海勇闯关卡: https://adxray.dataeye.com/index/home#/Product/Detail/1367467
- 时光旧巷口: https://adxray.dataeye.com/index/home#/Product/Detail/1367406
- 双人精灵进化无限: https://adxray.dataeye.com/index/home#/Product/Detail/1367650
- 双人求生岛: https://adxray.dataeye.com/index/home#/Product/Detail/1367446
