report_date,channel_name,game_name,normalized_game_name,platform,store_url,normalized_store_url,package_id,apple_app_id,video_id,video_title,video_url,extracted_from,link_type,confidence,reject_reason,created_at
2026-05-18,AetherFyre,Sword x Staff,swordxstaff,google_play,https://play.google.com/store/apps/details?id=com.zjcs.android.us,https://play.google.com/store/apps/details,com.zjcs.android.us,,9IqFNOc7hyA,Sword X Staff | Gameplay Android Ios (Official Released),https://www.youtube.com/watch?v=9IqFNOc7hyA,description_link_context,google_play,high,,2026-05-19T12:38:40
2026-05-18,AetherFyre,Sword X Staff,swordxstaff,app_store,https://apps.apple.com/us/app/sword-x-staff/id6751270546,https://apps.apple.com/us/app/sword-x-staff/id6751270546,,6751270546,9IqFNOc7hyA,Sword X Staff | Gameplay Android Ios (Official Released),https://www.youtube.com/watch?v=9IqFNOc7hyA,description_link_context,app_store,high,,2026-05-19T12:38:40
2026-05-18,AetherFyre,My FB Fanpage,myfbfanpage,other,https://www.facebook.com/share/14zwBzhjRM/,https://www.facebook.com/share/14zwBzhjRM,,,9IqFNOc7hyA,Sword X Staff | Gameplay Android Ios (Official Released),https://www.youtube.com/watch?v=9IqFNOc7hyA,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
2026-05-18,AetherFyre,AetherFyre,aetherfyre,other,https://discord.gg/AKPFtyeRfN,https://discord.gg/AKPFtyeRfN,,,9IqFNOc7hyA,Sword X Staff | Gameplay Android Ios (Official Released),https://www.youtube.com/watch?v=9IqFNOc7hyA,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
2026-05-18,AetherFyre,Soul Huntress: RPG Premium,soulhuntressrpgpremium,google_play,https://play.google.com/store/apps/details?id=com.pantheraplay.soulhuntresspremium,https://play.google.com/store/apps/details,com.pantheraplay.soulhuntresspremium,,35XOOnEX6NA,Soul Huntress: RPG Premium | Gameplay Android (Gift Code),https://www.youtube.com/watch?v=35XOOnEX6NA,description_link_context,google_play,high,,2026-05-19T12:38:40
2026-05-18,AetherFyre,My FB Fanpage,myfbfanpage,other,https://www.facebook.com/share/14zwBzhjRM/,https://www.facebook.com/share/14zwBzhjRM,,,35XOOnEX6NA,Soul Huntress: RPG Premium | Gameplay Android (Gift Code),https://www.youtube.com/watch?v=35XOOnEX6NA,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
2026-05-18,AetherFyre,AetherFyre,aetherfyre,other,https://discord.gg/AKPFtyeRfN,https://discord.gg/AKPFtyeRfN,,,35XOOnEX6NA,Soul Huntress: RPG Premium | Gameplay Android (Gift Code),https://www.youtube.com/watch?v=35XOOnEX6NA,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
2026-05-18,AetherFyre,Final Frontline: Survival,finalfrontlinesurvival,google_play,https://play.google.com/store/apps/details?id=com.techverse.fo,https://play.google.com/store/apps/details,com.techverse.fo,,nN_g0H9Sloo,Final Frontline: Survival | Gameplay Android,https://www.youtube.com/watch?v=nN_g0H9Sloo,description_link_context,google_play,high,,2026-05-19T12:38:40
2026-05-18,AetherFyre,My FB Fanpage,myfbfanpage,other,https://www.facebook.com/share/14zwBzhjRM/,https://www.facebook.com/share/14zwBzhjRM,,,nN_g0H9Sloo,Final Frontline: Survival | Gameplay Android,https://www.youtube.com/watch?v=nN_g0H9Sloo,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
2026-05-18,AetherFyre,AetherFyre,aetherfyre,other,https://discord.gg/AKPFtyeRfN,https://discord.gg/AKPFtyeRfN,,,nN_g0H9Sloo,Final Frontline: Survival | Gameplay Android,https://www.youtube.com/watch?v=nN_g0H9Sloo,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
2026-05-18,AetherFyre,Samsara Valley,samsaravalley,google_play,https://play.google.com/store/apps/details?id=com.f5game.sv,https://play.google.com/store/apps/details,com.f5game.sv,,4oRBxKwoyug,Samsara Valley | Gameplay Android (Gift Code) Official Released Mobile,https://www.youtube.com/watch?v=4oRBxKwoyug,description_link_context,google_play,high,,2026-05-19T12:38:40
2026-05-18,AetherFyre,My FB Fanpage,myfbfanpage,other,https://www.facebook.com/share/14zwBzhjRM/,https://www.facebook.com/share/14zwBzhjRM,,,4oRBxKwoyug,Samsara Valley | Gameplay Android (Gift Code) Official Released Mobile,https://www.youtube.com/watch?v=4oRBxKwoyug,description_link_context,non_store,low,weak_non_store_context,2026-05-19T12:38:40
